topology,p,q,mae_linear,r2_linear,mae_quadratic,r2_quadratic,improvement_pct
Barabási-Albert,0,0,0.0,1.0,0.0,1.0,0.0
Barabási-Albert,0,5,0.05320482672169977,0.9733995890376507,0.047391955804144605,0.9788989690382904,10.92545784983145
Barabási-Albert,0,10,0.25006175525241336,0.8979593185311967,6.839560213547368e-05,0.999999999271995,99.97264851553712
Barabási-Albert,0,20,0.47080268809491566,0.9575788177307956,0.33699813876062323,0.9850355804979997,28.42051515800116
Barabási-Albert,5,0,0.3698665926270456,0.8486302545509453,0.2344252338636874,0.8988178666373832,36.61897599384712
Barabási-Albert,5,5,0.19859506677221023,0.49636415880583773,0.18211990071705983,0.5790911830350335,8.295858665032961
Barabási-Albert,5,10,0.7523009576103685,0.7753112078180837,0.8229086702306898,0.6596092976749761,-9.385567292723081
Barabási-Albert,5,20,1.5459314423483377,0.8326619256447882,1.3286406968404048,0.8450486836619426,14.055652117267165
Barabási-Albert,10,0,0.14729963197010248,0.9947613935915891,0.12630251571990989,0.9826752478939095,14.254697020868592
Barabási-Albert,10,5,4.610892837959568e-05,0.9999999992914304,0.02766799305479779,0.9940055732413619,-59905.71695576762
Barabási-Albert,10,10,0.041070283091855585,0.871541698019379,0.02501042534906084,0.8809568466378018,39.10335292034908
Barabási-Albert,10,20,0.00010292542068128796,0.9999999992646648,0.16239819265549507,0.962414027568351,-157682.3938736831
Barabási-Albert,20,0,0.1239677556025363,0.9908628380221569,0.0001969527727489151,0.9999999992936965,99.84112580582615
Barabási-Albert,20,5,0.0001379864672216513,0.9999999992825949,0.0001379864672216513,0.9999999992825949,0.0
Barabási-Albert,20,10,8.655695862458401e-05,0.9999999992621812,8.655695862458401e-05,0.9999999992621812,0.0
Barabási-Albert,20,20,0.0,1.0,0.0,1.0,0.0
Erdős-Rényi,0,0,0.0,1.0,0.0,1.0,0.0
Erdős-Rényi,0,5,0.14743408419291576,0.7656407368770224,0.21842099506397855,0.6355479364162493,-48.14823604708478
Erdős-Rényi,0,10,0.3746914191194828,0.49638867871411907,0.4038322579562454,0.3446213303471697,-7.777290151251124
Erdős-Rényi,0,20,0.5898739520249776,0.635968277304158,0.7322008318866076,0.4682650514304365,-24.128354773598016
Erdős-Rényi,5,0,0.3376528224691839,0.13069808509842096,0.29463190543105516,0.32259589265559385,12.74116908708946
Erdős-Rényi,5,5,0.45846851522689036,-0.2742092149110056,0.48239167109272857,-0.6417624294511504,-5.218058617176566
Erdős-Rényi,5,10,0.4497668379490147,-0.15923313036415654,0.5086383585851619,-0.5304480743360822,-13.089342225542405
Erdős-Rényi,5,20,0.8315901269738266,0.13250898242981612,0.6577691429258745,0.5023147435229234,20.90224239199306
Erdős-Rényi,10,0,0.011817554680364495,0.9921524744457505,0.12274466196384992,0.7697311160920176,-938.6637953772012
Erdős-Rényi,10,5,0.19031532559353756,0.4382664187131283,0.1770714891771732,0.5896471059196486,6.958891184964077
Erdős-Rényi,10,10,0.07238822068041806,0.8397546885698735,0.07397920005255224,0.9551771100496415,-2.1978429047981245
Erdős-Rényi,10,20,0.10246202263512885,0.913300903948109,0.14764868618765306,0.9062772361871018,-44.10088966663837
Erdős-Rényi,20,0,0.033383628121606536,0.9896300398246198,0.05046650637581607,0.9810164720322951,-51.171425082923086
Erdős-Rényi,20,5,0.031953081716358155,0.9769381710820757,0.03877406865950093,0.97618474779017,-21.346882919436272
Erdős-Rényi,20,10,0.015291683949297408,0.9980691552259326,0.012349626754447484,0.9994614468975201,19.239589338917114
Erdős-Rényi,20,20,0.10646332669947825,0.5302834713122988,0.07027139513735321,0.7809848646693694,33.994740427646626
